lat,lon,value
33.39,-112.16,7
33.59,-112.01,4
34.76,-111.65,1
33.59,-112.28,1
33.66,-112.01,4
33.37,-112.16,4
33.59,-112.03,10
33.5,-112.02,2
36.05,-112.11,3
33.37,-112.14,2
33.69,-111.97,4
33.52,-112.22,2
33.57,-111.94,8
33.32,-111.69,1
33.74,-112.12,9
36.05,-112.13,1
34.72,-114.41,1
35.41,-114.28,1
32.81,-113.5,1
33.2,-111.81,1
33.52,-112.12,7
33.63,-112.46,5
33.5,-112.3,7
33.48,-112.07,29
33.51,-112.06,2
33.37,-112.22,3
33.52,-112.1,3
32.32,-111.12,4
33.5,-112.1,3
33.53,-112.22,1
33.35,-111.91,4
33.39,-112.14,28
33.5,-112.12,5
32.66,-114.57,2
33.39,-112.18,3
33.61,-112.19,8
33.3,-111.91,20
33.57,-112.2,3
32,-110.99,3
33.5,-112.18,2
33.48,-112.21,7
33.35,-112.81,3
33.6,-112.3,1
34.25,-110.02,1
33.48,-112.23,3
32.12,-110.73,1
33.48,-112.41,20
33.2,-111.83,1
33.54,-111.92,3
33.6,-112.32,4
34.99,-109.95,1
33.3,-111.82,21
33.43,-112.11,3
33.48,-112.31,41
33.62,-112.18,3
33.31,-111.86,10
31.9,-112.82,1
33.39,-112.02,1
33.05,-112.02,4
33.47,-112,3
33.23,-111.81,2
33.31,-111.88,1
34.93,-111.65,1
34.72,-114.49,1
33.34,-112,3
32.35,-111.23,1
33.71,-112.29,2
34.85,-111.8,1
34.19,-111.33,1
33.37,-112.18,2
33.36,-110.93,1
33.68,-112.09,1
33.36,-112.06,1
33.61,-113.66,1
33.69,-111.99,6
33.3,-111.86,10
33.48,-112.9,1
33.3,-111.84,2
33.54,-111.88,8
33.36,-112.08,1
33.71,-112.45,2
33.58,-112.46,15
33.31,-111.92,4
33.63,-112.13,4
33.31,-111.9,14
32.05,-110.62,1
33.47,-112.83,1
33.6,-111.99,17
33.22,-112.65,1
33.58,-112.42,2
33.75,-112.22,4
33.31,-111.96,3
33.43,-112.01,46
33.44,-112.42,7
33.65,-112.24,6
34.52,-111.99,1
33.63,-112.25,3
33.6,-111.97,5
32.43,-110.95,2
33.35,-111.93,1
33.6,-111.89,1
33.63,-112.23,18
32.46,-111.23,1
33.4,-112.09,4
33.44,-112.78,3
33.7,-111.91,2
33.64,-111.88,1
33.49,-111.94,4
33.63,-112.21,9
32.32,-110.85,2
33.26,-111.79,1
33.62,-112,7
33.67,-114.06,1
33.63,-112.44,19
33.55,-112.18,3
33.35,-111.87,12
33.54,-112,1
33.6,-112.23,4
33.67,-112.42,2
32.37,-111.17,1
